date,department,location,experience_level,project_status,base_salary,years_experience,projects_completed,performance_score,training_hours,overtime_hours,job_satisfaction,salary_per_year_experience,is_high_performer,satisfaction_category
2023-01-01,Sales,Chicago,Senior,Not Started,82450.71229516849,13.613715813111355,5,1.0,4.0,6.0049297200032035,0.9191557310597174,6056.444355607915,True,High
2023-01-02,Engineering,San Francisco,Entry,Completed,72926.03548243223,10.504074846979268,6,0.8868106652033221,4.0,4.859370318187387,0.7668382387089273,6942.642407332435,True,Medium
2023-01-03,Finance,New York,Entry,Delayed,84715.32807151039,6.234521459501086,4,0.7011306549165832,3.0,15.266367421593108,0.7261896567932946,13588.104335162507,False,Medium
2023-01-04,Engineering,Seattle,Entry,Not Started,97845.44784612038,3.889648463174124,6,0.5714279484358914,4.0,1.7508463833568089,0.6694006688048765,25155.344698238925,False,Medium
2023-01-05,HR,Chicago,Entry,Not Started,71487.69937914996,10.33018172853243,4,0.9368866116315883,4.0,37.33675129569186,0.9218943682382348,6920.275098520066,True,High
2023-01-06,HR,San Francisco,Entry,Delayed,71487.94564576229,8.885508011394732,6,0.8214996439202698,3.0,3.7843261360848377,0.7626525975701893,8045.453963249653,True,Medium
2023-01-07,Finance,San Francisco,Senior,Completed,98688.19223261088,13.034552069022542,3,1.0,13.0,5.602324665879015,0.9859972989793753,7571.276075312919,True,High
2023-01-08,Finance,Seattle,Entry,Completed,86511.52093729364,6.805009617514696,7,0.7121653872121345,1.0,3.2123200655909363,0.8154526720046584,12712.916777462116,False,High
2023-01-09,Finance,Seattle,Senior,Completed,67957.88421097572,16.187180666716504,3,1.0,6.0,8.659865176156789,0.9523434291706663,4198.2532727708585,True,High
2023-01-10,Sales,New York,Senior,Not Started,83138.40065378947,6.806341024247329,6,0.6464014820280525,0.0,0.6041763743817474,0.7444086206469173,12214.845003741673,False,Medium
2023-01-11,Sales,New York,Senior,Not Started,68048.73460781306,3.8776233529700437,7,0.603091381978175,3.0,1.621395962424956,0.6864559695875996,17549.083140241437,False,Medium
2023-01-12,HR,New York,Entry,Not Started,68014.05369644615,4.3503124388535594,1,0.6056853053900584,1.0,13.696248857228433,0.6386425120680107,15634.291709486948,False,Low
2023-01-13,Finance,Austin,Senior,Completed,78629.43407349051,8.310590741996732,6,0.8221543864049707,4.0,2.0641006947733236,0.7706018887666085,9461.353171459232,True,Medium
2023-01-14,Marketing,Chicago,Entry,Not Started,46300.79633013303,4.0909498497539465,4,0.5478460055112047,3.0,2.685521570705158,0.5359036869424317,11317.859673326924,False,Low
2023-01-15,HR,San Francisco,Senior,On Track,49126.23251230451,16.118882405705822,2,1.0,,,,3047.744333373548,True,Medium
2023-01-16,Finance,Chicago,Entry,Delayed,66565.68706138541,7.88740188365914,2,0.750214647081884,4.0,0.9794494394192689,0.7394928373038681,8439.494784625342,False,Medium
2023-01-17,Marketing,Seattle,Mid,On Track,59807.53319498364,6.148635826323021,5,0.6716599237969858,3.0,5.753176086901054,0.6854992139373172,9726.95974917569,False,Medium
2023-01-18,Finance,Chicago,Mid,On Track,79713.70998892911,6.4794356878624,5,0.6239626526669371,0.0,0.233335082633721,0.6567076909628283,12302.569826914523,False,Medium
2023-01-19,Engineering,Chicago,Senior,Not Started,61379.638867181835,5.067960267716844,3,0.5946350699242701,4.0,4.258832457483701,0.538028172686749,12111.310196761635,False,Low
2023-01-20,Marketing,New York,Lead,Delayed,53815.444479970625,1.9219426211063613,5,0.42287905661233793,4.0,12.005832307955666,0.5560716688377236,28000.546888851397,False,Low
2023-01-21,Engineering,Seattle,Lead,On Track,96984.7315338233,4.352386971178012,11,0.6055384201582975,3.0,0.9442418010695118,0.6891558017337033,22283.11319192593,False,Medium
2023-01-22,Sales,Chicago,Mid,Completed,71613.35549270196,14.909069973095281,2,1.0,1.0,21.922486189856386,0.9416964047193707,4803.341564694143,True,High
2023-01-23,HR,San Francisco,Senior,Completed,76012.92307031885,6.920649975062231,6,0.7670359230587562,1.0,24.023948530914673,0.7093046002716681,10983.494808178813,False,Medium
2023-01-24,Finance,New York,Senior,Completed,53628.77720679815,11.250617910779788,5,1.0,4.0,1.1092080671497766,0.9415143590447961,4766.740603235107,True,High
2023-01-25,HR,Chicago,Senior,Completed,66834.25913212226,11.449287191425263,3,1.0,4.0,46.812347576569564,0.9260174510716549,5837.416601985194,True,High
2023-01-26,Finance,Seattle,Lead,Delayed,76663.83884564799,5.852335326403919,4,0.6899605134793775,5.0,3.531519475495325,0.729324080766838,13099.700302503952,False,Medium
2023-01-27,Engineering,San Francisco,Mid,Completed,57735.09633866546,8.975851046046756,10,0.8590255699300369,7.0,0.8784991515353214,0.8961184154770143,6432.269880870382,True,High
2023-01-28,Marketing,Seattle,Senior,Delayed,80635.47027518509,2.042519528101435,1,0.4033196513495438,10.0,0.05079995854558762,0.4992926511960304,39478.43296760911,False,Low
2023-01-29,Marketing,Seattle,Mid,Delayed,65990.41965121793,14.175844555037862,8,1.0,13.0,5.251323042822049,0.9331686473535991,4655.131438201755,True,High
2023-01-30,Finance,Seattle,Mid,Delayed,70624.59375310085,13.475956323926177,3,1.0,4.0,9.937388530210121,0.8861037323908412,5240.785296083878,True,High
2023-01-31,Engineering,Austin,Entry,Delayed,65974.40081655905,8.167814028831822,5,0.8237530833159261,10.0,4.03735479633235,0.8431025926976388,8077.36324354031,True,High
2023-02-01,Finance,San Francisco,Lead,Not Started,102784.17276763407,7.079060457821903,4,0.821433993406359,,,,14519.46531323436,True,Medium
2023-02-02,Finance,Seattle,Mid,On Track,74797.541628931,5.901681082971579,11,0.6130779966558514,2.0,12.609180958135376,0.6638998222803191,12673.938252059765,False,Medium
2023-02-03,Finance,Austin,Entry,Not Started,59134.3360656615,12.0560650325405,3,0.9971973665612484,5.0,4.310314576964103,0.87564726686212,4904.9450136551295,True,High
2023-02-04,Marketing,New York,Lead,On Track,87338.17368154784,9.623847882370484,4,0.9316389332521595,3.0,13.25423808544004,0.8463986034783825,9075.182271068406,True,High
2023-02-05,Finance,Austin,Senior,Not Started,56687.345250434664,4.723537961570818,3,0.6139838861003791,9.0,28.215728863093737,0.5723820815687374,12001.035179906381,False,Low
2023-02-06,Marketing,New York,Senior,Completed,78132.95392507133,2.7963877524371172,3,0.5403345522090993,4.0,0.9771867630217851,0.5719545667529258,27940.672339512512,False,Low
2023-02-07,Sales,Austin,Entry,Delayed,45604.94814180337,2.4751439647861826,8,0.4678897722581014,4.0,3.6543312819425515,0.5844443733369246,18425.169925719045,False,Low
2023-02-08,Engineering,Seattle,Senior,Completed,55077.20926652354,11.978009641246388,1,1.0,12.0,6.223643317232258,0.9428092811916131,4598.193766422149,True,High
